Comment No , Profanity %
       319 , 8.33%
       320 , 8.77%
       321 , 23.33%
       322 , 28.57%
       323 , 0.00%
       324 , 2.94%
       325 , 17.65%
       326 , 11.11%
       327 , 3.17%
       328 , 8.33%
       329 , 0.00%
       330 , 0.00%
       331 , 0.00%
       332 , 11.46%
       333 , 5.88%
       334 , 16.67%
       335 , 20.00%
       336 , 25.00%
       337 , 40.00%
       338 , 9.09%
       339 , 100.00%
       340 , 6.25%
       341 , 0.00%
       342 , 8.33%
       343 , 15.00%
       344 , 8.11%
       345 , 3.57%
       346 , 0.00%
       347 , 8.51%
       348 , 0.00%
       349 , 15.38%
       350 , 9.09%
       351 , 9.09%
       352 , 0.00%
       353 , 5.00%
       354 , 0.00%
       355 , 7.02%
       356 , 7.14%
       357 , 100.00%
       358 , 19.44%
       359 , 21.05%
       360 , 6.98%
       361 , 11.76%
       362 , 50.00%
       363 , 13.89%
       364 , 12.90%
       365 , 14.29%
       366 , 27.27%
       367 , 5.88%
       368 , 15.46%
       369 , 13.11%
       370 , 4.76%
       371 , 3.64%
       372 , 3.57%
       373 , 7.50%
       374 , 7.69%
       375 , 20.83%
       376 , 15.38%
       377 , 23.53%
       378 , 14.29%
       379 , 18.18%
       380 , 14.29%
       381 , 0.00%
       382 , 0.00%
       383 , 15.62%
       384 , 0.00%
       385 , 4.35%
       386 , 0.00%
       387 , 17.14%
       388 , 15.38%
       389 , 4.65%
       390 , 16.13%
       391 , 0.00%
       392 , 14.29%
       393 , 14.29%
       394 , 0.00%
       395 , 33.33%
       396 , 14.81%
       397 , 20.00%
       398 , 10.53%
       399 , 4.76%
       400 , 17.86%
       401 , 6.06%
       402 , 23.08%
       403 , 5.56%
       404 , 15.38%
       405 , 25.00%
       406 , 27.27%
       407 , 7.14%
       408 , 12.50%
       409 , 23.08%
       410 , 18.18%
       411 , 8.33%
       412 , 0.00%
       413 , 20.00%
       414 , 13.64%
       415 , 12.50%
       416 , 10.00%
       417 , 25.00%
       418 , 25.00%
       419 , 9.09%
       420 , 9.09%
       421 , 13.04%
       422 , 15.00%
       423 , 22.22%
       424 , 20.00%
       425 , 0.00%
       426 , 50.00%
       427 , 12.50%
       428 , 12.00%
       429 , 20.00%
       430 , 33.33%
       431 , 14.29%
       432 , 9.09%
       433 , 0.00%
       434 , 20.00%
       435 , 23.08%
       436 , 10.00%
       437 , 66.67%
       438 , 10.71%
       439 , 24.24%
       440 , 20.00%
       441 , 17.39%
       442 , 6.52%
       443 , 4.65%
       444 , 4.65%
       445 , 14.29%
       446 , 16.67%
       447 , 0.00%
       448 , 16.07%
       449 , 16.67%
       450 , 25.00%
       451 , 29.41%
       452 , 7.14%
       453 , 62.50%
       454 , 16.67%
       455 , 27.27%
       456 , 0.00%
       457 , 9.43%
       458 , 40.00%
       459 , 30.00%
       460 , 8.00%
       461 , 16.67%
       462 , 33.33%
       463 , 0.00%
       464 , 17.65%
       465 , 15.15%
       466 , 23.33%
       467 , 30.00%
       468 , 66.67%
       469 , 66.67%
       470 , 7.14%
       471 , 22.22%
       472 , 7.69%
       473 , 50.00%
       474 , 11.76%
       475 , 20.00%
       476 , 18.00%
       477 , 12.99%
       478 , 0.00%
       479 , 36.36%
       480 , 28.57%
       481 , 0.00%
       482 , 66.67%
       483 , 27.27%
       484 , 25.00%
       485 , 0.00%
       486 , 3.23%
       487 , 20.00%
       488 , 27.03%
       489 , 16.67%
       490 , 16.67%
       491 , 0.00%
       492 , 19.35%
       493 , 0.00%
       494 , 66.67%
       495 , 31.25%
       496 , 7.69%
       497 , 10.00%
       498 , 0.00%
       499 , 10.53%
       500 , 23.08%
       501 , 25.00%
       502 , 3.85%
       503 , 13.33%
       504 , 30.00%
       505 , 23.33%
       506 , 11.43%
       507 , 23.53%
       508 , 0.00%
       509 , 0.00%
       510 , 20.00%
       511 , 0.00%
       512 , 16.67%
       513 , 25.00%
       514 , 0.00%
       515 , 0.00%
       516 , 100.00%
       517 , 16.67%
       518 , 17.57%
       519 , 27.27%
       520 , 23.08%
       521 , 22.86%
       522 , 20.83%
       523 , 37.50%
       524 , 4.76%
       525 , 0.00%
       526 , 0.00%
       527 , 31.58%
       528 , 25.00%
       529 , 21.88%
       530 , 16.67%
       531 , 16.22%
       532 , 28.57%
       533 , 14.71%
       534 , 6.67%
       535 , 6.67%
       536 , 6.67%
       537 , 9.30%
       538 , 16.67%
       539 , 23.08%
       540 , 10.53%
       541 , 22.22%
       542 , 12.50%
       543 , 11.11%
       544 , 8.57%
       545 , 23.53%
       546 , 7.69%
       547 , 29.17%
       548 , 27.27%
       549 , 15.38%
       550 , 30.00%
       551 , 22.73%
       552 , 0.00%
       553 , 14.06%
       554 , 28.57%
       555 , 37.50%
       556 , 80.00%
       557 , 38.89%
       558 , 100.00%
       559 , 17.07%
       560 , 0.00%
       561 , 13.64%
       562 , 41.67%
       563 , 29.41%
       564 , 12.82%
       565 , 6.25%
       566 , 28.12%
       567 , 15.62%
       568 , 30.43%
       569 , 19.51%
       570 , 37.50%
       571 , 31.25%
       572 , 0.00%
       573 , 13.33%
       574 , 29.41%
       575 , 10.53%
       576 , 31.25%
       577 , 20.69%
       578 , 5.56%
       579 , 0.00%
       580 , 41.18%
       581 , 100.00%
       582 , 26.09%
       583 , 27.27%
       584 , 23.08%
       585 , 23.08%
       586 , 100.00%
       587 , 12.50%
       588 , 16.67%
       589 , 25.00%
       590 , 31.25%
       591 , 14.29%
       592 , 10.14%
       593 , 50.00%
       594 , 21.43%
       595 , 18.18%
       596 , 28.57%
       597 , 21.05%
       598 , 9.09%
       599 , 16.67%
       600 , 17.86%
       601 , 27.03%
       602 , 17.24%
       603 , 20.00%
       604 , 11.76%
       605 , 11.11%
       606 , 14.29%
       607 , 12.50%
       608 , 27.50%
       609 , 30.77%
       610 , 13.19%
       611 , 0.00%
       612 , 14.29%
       613 , 25.00%
       614 , 2.86%
       615 , 22.22%
       616 , 25.00%
       617 , 25.00%
       618 , 17.33%
       619 , 42.86%
       620 , 17.39%
       621 , 18.52%
       622 , 22.22%
       623 , 15.38%
       624 , 40.00%
       625 , 33.33%
       626 , 20.00%
       627 , 10.59%
       628 , 25.00%
       629 , 10.83%
       630 , 10.00%
       631 , 9.09%
       632 , 23.53%
       633 , 8.00%
       634 , 35.71%
       635 , 13.51%
       636 , 0.00%
       637 , 10.29%
       638 , 0.00%
       639 , 13.33%
       640 , 11.32%
       641 , 18.92%
       642 , 12.50%
       643 , 12.68%
       644 , 33.33%
       645 , 9.09%
       646 , 13.79%
       647 , 12.00%
       648 , 36.36%
       649 , 9.31%
       650 , 18.52%
       651 , 19.23%
       652 , 17.95%
       653 , 23.08%
       654 , 60.00%
       655 , 19.48%
       656 , 9.38%
       657 , 21.05%
       658 , 12.50%
       659 , 8.33%
       660 , 10.00%
       661 , 15.22%
       662 , 26.92%
       663 , 28.57%
       664 , 16.67%
       665 , 16.67%
       666 , 5.56%
       667 , 6.25%
       668 , 0.00%
       669 , 0.00%
       670 , 14.29%
       671 , 13.33%
       672 , 50.00%
       673 , 26.32%
       674 , 80.00%
       675 , 14.29%
       676 , 18.18%
       677 , 33.33%
       678 , 66.67%
       679 , 0.00%
       680 , 12.50%
       681 , 20.59%
       682 , 24.00%
       683 , 12.00%
       684 , 20.00%
       685 , 25.00%
       686 , 26.67%
       687 , 5.00%
       688 , 40.00%
       689 , 30.00%
       690 , 27.78%
       691 , 6.82%
       692 , 10.26%
       693 , 16.67%
       694 , 6.82%
       695 , 10.26%
       696 , 16.67%
       697 , 20.51%
       698 , 17.19%
       699 , 28.57%
       700 , 0.00%
       701 , 36.36%
       702 , 33.33%
       703 , 25.00%
       704 , 100.00%
       705 , 100.00%
       706 , 33.33%
       707 , 19.05%
       708 , 13.64%
       709 , 50.00%
       710 , 0.00%
       711 , 4.88%
       712 , 6.67%
       713 , 8.33%
       714 , 29.41%
       715 , 25.00%
       716 , 40.00%
       717 , 14.29%
       718 , 14.29%
       719 , 12.50%
       720 , 17.78%
       721 , 4.35%
